ticker,company_name,market,sector,industry,internal_category,financial_type,notes,company_name_jpx,market_jpx,sector_jpx,company_name_yf,market_yf,sector_yf,industry_yf,quote_type,currency,country,website,yf_fetch_status
9633.T,"Tokyo Theatres Company, Incorporated",Standard,Industrials,Conglomerates,non_financial,non_financial,,東京テアトル,Standard,,"Tokyo Theatres Company, Incorporated",JPX,Industrials,Conglomerates,EQUITY,JPY,Japan,https://www.theatres.co.jp,ok
9635.T,"Musashino Kogyo Co., Ltd.",Standard,Real Estate,Real Estate Services,non_financial,non_financial,,武蔵野興業,Standard,,"Musashino Kogyo Co., Ltd.",JPX,Real Estate,Real Estate Services,EQUITY,JPY,Japan,https://www.musashino-k.co.jp,ok
9636.T,Kin-Ei Corp.,Standard,Communication Services,Entertainment,non_financial,non_financial,,きんえい,Standard,,Kin-Ei Corp.,JPX,Communication Services,Entertainment,EQUITY,JPY,Japan,https://www.kin-ei.co.jp,ok
9639.T,"Sankyo Frontier Co.,Ltd.",Standard,Real Estate,Real Estate - Diversified,non_financial,non_financial,,三協フロンテア,Standard,,"Sankyo Frontier Co.,Ltd.",JPX,Real Estate,Real Estate - Diversified,EQUITY,JPY,Japan,https://www.sankyofrontier.com,ok
9640.T,"Saison Technology Co., Ltd.",Standard,Technology,Information Technology Services,non_financial,non_financial,,セゾンテクノロジー,Standard,,"Saison Technology Co., Ltd.",JPX,Technology,Information Technology Services,EQUITY,JPY,Japan,https://www.saison-technology.com,ok
9647.T,"Kyowa Engineering Consultants Co., Ltd.",Standard,Industrials,Engineering & Construction,non_financial,non_financial,,協和コンサルタンツ,Standard,,"Kyowa Engineering Consultants Co., Ltd.",JPX,Industrials,Engineering & Construction,EQUITY,JPY,Japan,https://www.kyowa-c.co.jp,ok
9651.T,"Japan Process Development Co., Ltd.",Standard,Technology,Software - Application,non_financial,non_financial,,日本プロセス,Standard,,"Japan Process Development Co., Ltd.",JPX,Technology,Software - Application,EQUITY,JPY,Japan,https://www.jpd.co.jp,ok
9656.T,Greenland Resort Company Limited,Standard,Consumer Cyclical,Resorts & Casinos,non_financial,non_financial,,グリーンランドリゾート,Standard,,Greenland Resort Company Limited,JPX,Consumer Cyclical,Resorts & Casinos,EQUITY,JPY,Japan,https://www.greenland.co.jp,ok
9661.T,"Kabuki-Za Co., Ltd.",Standard,Real Estate,Real Estate Services,non_financial,non_financial,,歌舞伎座,Standard,,"Kabuki-Za Co., Ltd.",JPX,Real Estate,Real Estate Services,EQUITY,JPY,Japan,https://www.kabuki-za.co.jp,ok
9679.T,"HORAI Co., Ltd.",Standard,Financial Services,Insurance - Diversified,insurance,insurance,,ホウライ,Standard,,"HORAI Co., Ltd.",JPX,Financial Services,Insurance - Diversified,EQUITY,JPY,Japan,https://www.horai-kk.co.jp,ok
9685.T,"KYCOM Holdings Co., Ltd.",Standard,Technology,Software - Application,non_financial,non_financial,,ＫＹＣＯＭホールディングス,Standard,,"KYCOM Holdings Co., Ltd.",JPX,Technology,Software - Application,EQUITY,JPY,Japan,https://www.kyd.co.jp,ok
9686.T,"Toyo Tec Co.,Ltd.",Standard,Industrials,Security & Protection Services,non_financial,non_financial,,東洋テック,Standard,,"Toyo Tec Co.,Ltd.",JPX,Industrials,Security & Protection Services,EQUITY,JPY,Japan,https://www.toyo-tec.co.jp,ok
9687.T,"KSK Co.,Ltd.",Standard,Technology,Software - Application,non_financial,non_financial,,ＫＳＫ,Standard,,"KSK Co.,Ltd.",JPX,Technology,Software - Application,EQUITY,JPY,Japan,https://www.ksk.co.jp,ok
9691.T,"Ryomo Systems Co.,Ltd.",Standard,Technology,Software - Application,non_financial,non_financial,,両毛システムズ,Standard,,"Ryomo Systems Co.,Ltd.",JPX,Technology,Software - Application,EQUITY,JPY,Japan,https://www.ryomo.co.jp,ok
9698.T,"Creo Co.,Ltd.",Standard,Technology,Software - Application,non_financial,non_financial,,クレオ,Standard,,"Creo Co.,Ltd.",JPX,Technology,Software - Application,EQUITY,JPY,Japan,https://www.creo.co.jp,ok
9701.T,"Tokyo Kaikan Co., Ltd.",Standard,Consumer Cyclical,Restaurants,non_financial,non_financial,,東京會舘,Standard,,"Tokyo Kaikan Co., Ltd.",JPX,Consumer Cyclical,Restaurants,EQUITY,JPY,Japan,https://www.kaikan.co.jp,ok
9704.T,"AGORA Hospitality Group Co., Ltd",Standard,Consumer Cyclical,Lodging,non_financial,non_financial,,アゴーラ　ホスピタリティー　グループ,Standard,,"AGORA Hospitality Group Co., Ltd",JPX,Consumer Cyclical,Lodging,EQUITY,JPY,Japan,https://www.agora.jp,ok
9708.T,"Imperial Hotel, Ltd.",Standard,Consumer Cyclical,Lodging,non_financial,non_financial,,帝国ホテル,Standard,,"Imperial Hotel, Ltd.",JPX,Consumer Cyclical,Lodging,EQUITY,JPY,Japan,https://www.imperialhotel.co.jp,ok
9709.T,"NCS&A Co., Ltd.",Standard,Technology,Information Technology Services,non_financial,non_financial,,ＮＣＳ＆Ａ,Standard,,"NCS&A Co., Ltd.",JPX,Technology,Information Technology Services,EQUITY,JPY,Japan,https://ncsa.jp,ok
9713.T,"The Royal Hotel, Limited",Standard,Consumer Cyclical,Lodging,non_financial,non_financial,,ロイヤルホテル,Standard,,"The Royal Hotel, Limited",JPX,Consumer Cyclical,Lodging,EQUITY,JPY,Japan,https://www.royalhotel.jpn.com,ok
9720.T,"Hotel Newgrand Co., Ltd.",Standard,Consumer Cyclical,Lodging,non_financial,non_financial,,ホテル、ニューグランド,Standard,,"Hotel Newgrand Co., Ltd.",JPX,Consumer Cyclical,Lodging,EQUITY,JPY,Japan,https://www.hotel-newgrand.co.jp,ok
9723.T,"The Kyoto Hotel, Ltd.",Standard,Consumer Cyclical,Lodging,non_financial,non_financial,,京都ホテル,Standard,,"The Kyoto Hotel, Ltd.",JPX,Consumer Cyclical,Lodging,EQUITY,JPY,Japan,https://www.kyotohotel.co.jp,ok
9726.T,"KNT-CT Holdings Co., Ltd.",Standard,Consumer Cyclical,Travel Services,non_financial,non_financial,,ＫＮＴ－ＣＴホールディングス,Standard,,"KNT-CT Holdings Co., Ltd.",JPX,Consumer Cyclical,Travel Services,EQUITY,JPY,Japan,https://www.kntcthd.co.jp/en,ok
9731.T,"Hakuyosha Company, Ltd.",Standard,Consumer Cyclical,Personal Services,non_financial,non_financial,,白洋舎,Standard,,"Hakuyosha Company, Ltd.",JPX,Consumer Cyclical,Personal Services,EQUITY,JPY,Japan,https://www.hakuyosha.co.jp,ok
9733.T,Nagase Brothers Inc.,Standard,Consumer Defensive,Education & Training Services,non_financial,non_financial,,ナガセ,Standard,,Nagase Brothers Inc.,JPX,Consumer Defensive,Education & Training Services,EQUITY,JPY,Japan,https://www.toshin.com,ok
9753.T,IX Knowledge Incorporated,Standard,Technology,Information Technology Services,non_financial,non_financial,,アイエックス・ナレッジ,Standard,,IX Knowledge Incorporated,JPX,Technology,Information Technology Services,EQUITY,JPY,Japan,https://www.ikic.co.jp,ok
9760.T,"Shingakukai Holdings Co.,Ltd.",Standard,Industrials,Conglomerates,non_financial,non_financial,,進学会ホールディングス,Standard,,"Shingakukai Holdings Co.,Ltd.",JPX,Industrials,Conglomerates,EQUITY,JPY,Japan,https://www.shingakukai.co.jp,ok
9761.T,"Tokai Lease Co.,Ltd.",Standard,Real Estate,Real Estate Services,leasing,leasing,,東海リース,Standard,,"Tokai Lease Co.,Ltd.",JPX,Real Estate,Real Estate Services,EQUITY,JPY,Japan,https://tokai-lease.co.jp,ok
